iter	Passed	Remaining
0	0	36
1	0	30
2	0	28
3	1	25
4	1	25
5	1	24
6	1	24
7	2	23
8	2	23
9	2	22
10	2	22
11	3	22
12	3	21
13	3	21
14	3	21
15	3	20
16	4	20
17	4	20
18	4	20
19	4	19
20	5	19
21	5	19
22	5	19
23	5	18
24	6	18
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	17
31	7	16
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	11
55	14	11
56	14	10
57	14	10
58	14	10
59	15	10
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	18	5
76	19	5
77	19	5
78	19	5
79	19	4
80	20	4
81	20	4
82	20	4
83	20	3
84	21	3
85	21	3
86	21	3
87	21	2
88	22	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
